"Bore no","Name","Bore report","Yield (L/s)","Completion date","Drilled depth (m)","Completion depth (m)","Depth to water (m) at date of drilling","Purpose","Construction","Status","Latitude","Longitude","UTM zone","Easting","Northing","Position accuracy","Water data portal"
"RN019103","Roads Bore Anningie Station",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN019103,0.3,2014-11-19 00:00:00.0,72,72,14.5,"Production","Constructed&Capped","Current",-21.913099,133.289255,53,323289,7575807,"GPS",
"RN019104","Abandoned Roads Bore Anningie Station",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN019104,0.1,2014-11-19 00:00:00.0,48,0,,"Production","Backfilled","Historical",-21.905918,133.313721,53,325808,7576630,"GPS",
"RN002656","Salt Well Bore Anningie Station",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN002656,,,73.2,0,,"Unknown",,"Current",-21.912921,133.289499,53,323314,7575827,"GPS",
"RN019975","Crossroads Corner Bore Mount Skinner Station",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN019975,1,2019-09-15 00:00:00.0,72,72,20.8,"Production","Constructed&Capped","Current",-22.171763,134.207796,53,418325,7547948,"GPS",
"RN017697","Production Bore Ti Tree Farm NTP 3706",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN017697,15,2002-05-23 00:00:00.0,102,99.5,28,"Production","Constructed&Capped","Current",-22.242777,133.416601,53,336825,7539447,"On Block",
"RN019974","Ghost Well Bore Mount Skinner Station",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN019974,2,2019-09-14 00:00:00.0,30,30,6.3,"Production","Constructed&Capped","Current",-22.089355,134.117508,53,408963,7557019,"GPS",
"RN014351","Abandoned Production Monitoring Wilora",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN014351,1.8,1985-08-07 00:00:00.0,41.3,0,0,"Monitoring","Observation","Current",-21.733607,133.753173,53,371055,7596139,"GPS",
"RN014352","Production Bore Wilora Community",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN014352,1.8,1985-08-08 00:00:00.0,41.3,0,0,"Production",,"Current",-21.733484,133.753657,53,371105,7596153,"GPS",
"RN014350","1/85 WILORA  SALT/DUD 26M (NW)TANK STAND IN COM /YRD",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN014350,3,1985-08-07 00:00:00.0,30.1,0,0,"Production",,"Current",-21.733408,133.763545,53,372128,7596170,"Estimated",
"RN016704","Ti Tree Monitoring Bore",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN016704,10,1995-12-08 00:00:00.0,59.5,59.4,26.9,"Monitoring","Constructed&Capped","Current",-22.241663,133.424608,53,337649,7539579,"GPS",https://ntg.aquaticinformatics.net/AQWebportal/Data/Location/Summary/Location/RN016704/Interval/Latest
"RN017709","Adrail ASR109 Construction Bore Aileron Station",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN017709,10,2002-09-06 00:00:00.0,144,144,52.4,"Production","Constructed&Capped","Current",-22.753677,133.825995,53,379463,7483270,"GPS",
"RN019102","Abandoned Roads Bore Anningie Station",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN019102,,2014-11-18 00:00:00.0,66,0,,"Production","Backfilled","Historical",-21.911486,133.292275,53,323599,7575989,"GPS",
"RN016705","Ti Tree Monitoring Bore",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN016705,3,1995-12-08 00:00:00.0,56.4,56.3,28.6,"Monitoring","Constructed&Capped","Current",-22.251034,133.412191,53,336380,7538528,"GPS",https://ntg.aquaticinformatics.net/AQWebportal/Data/Location/Summary/Location/RN016705/Interval/Latest
"RN017708","Adrail ASR111 Camp Domestic Bore Aileron Station",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN017708,0.4,2002-09-05 00:00:00.0,83,83,49.7,"Production","Constructed&Capped","Current",-22.736119,133.827362,53,379588,7485215,"GPS",
"RN002453","Monitored Well Cabbage Well",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN002453,1.5,1934-01-01 00:00:00.0,3.4,0,0,"Monitoring","Well","Current",-22.220503,133.72368,53,368454,7542212,"GPS",
"RN002452","Monitored Well Stuart Well",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN002452,1.5,1932-01-01 00:00:00.0,9.4,0,0,"Production","Well","Current",-22.221557,133.664852,53,362391,7542043,"GPS",
"RN002451","Monitored Well Almouriba Well",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN002451,1.3,1927-01-01 00:00:00.0,18.3,0,0,"Production","Well","Current",-22.190399,133.517045,53,347121,7545351,"GPS",
"RN019093","Stock Bore Anningie Station",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN019093,1.3,2014-10-29 00:00:00.0,51.25,51.25,15,"Production","Constructed&Capped","Current",-21.914489,133.289219,53,323287,7575653,"GPS",
"RN002450","GARDEN WELL. TI-TREE.",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN002450,1.3,1930-01-01 00:00:00.0,15.2,0,0,"Production",,"Current",-22.124806,133.262224,53,320763,7552335,"Estimated",
"RN012157","WRB INV [OBS] APX 300M (N) OF POOLIES MILL.",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN012157,6,1980-03-20 00:00:00.0,75.3,0,0,"Monitoring",,"Current",-22.353865,133.649306,53,360919,7527381,"Surveyed",
"RN002449","COMMUNITY BORE. TI-TREE STN. NTURIYA",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN002449,1.3,1930-01-01 00:00:00.0,16.8,0,0,"Production",,"Current",-22.124501,133.263246,53,320868,7552370,"GPS",
"RN012156","Pine Hill Station",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN012156,6,1980-03-19 00:00:00.0,72.9,72.9,0,"Monitoring","Constructed&Capped","Current",-22.353915,133.649125,53,360901,7527375,"GPS",https://ntg.aquaticinformatics.net/AQWebportal/Data/Location/Summary/Location/RN012156/Interval/Latest
"RN002448","WESTERN BORE. 6KM WESTERLY OF TI/TREE H/S",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN002448,1,1958-01-01 00:00:00.0,48.8,0,0,"Production",,"Current",-22.090356,133.226538,53,317037,7556107,"GPS",
"RN002447","ANNINGIE  BORE.   POOR COND 20KM (W) OF WESTERN BORE.",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN002447,2.5,1948-01-01 00:00:00.0,91.4,0,0,"Unknown",,"Current",-22.035307,133.062852,53,300068,7561997,"GPS",
"RN012158","WRB INV 6"ID STEEL CASING AILERON.PINEHILL BOUNDARY",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN012158,7,1980-03-22 00:00:00.0,175.7,0,0,"Investigation",,"Current",-22.575018,133.681941,53,364496,7502926,"GPS",
"RN001301","Mount Skinner - Skinner Station",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN001301,,,7,0,,"Production","Well","Current",-22.185485,134.101515,53,407376,7546368,"GPS",
"RN002446","WATERLOO BORE. TI-TREE.",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN002446,2.3,1948-01-01 00:00:00.0,61,0,0,"Production",,"Current",-22.179778,133.19721,53,314128,7546170,"Estimated",
"RN001300","GHOST GUM WELL (NOT USED) (N) OF HARPER SPRINGS",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN001300,,,6.1,0,,"Unknown",,"Current",-22.087949,134.109418,53,408127,7557170,"Estimated",
"RN002445","ANNULLICA BORE. 10KM (W) OF TI-TREE PUB.",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN002445,2.3,1958-01-01 00:00:00.0,35.4,0,0,"Production",,"Current",-22.137341,133.325131,53,327268,7551020,"GPS",
"RN001299","LIMESTONE WOODDUCK WELL 21KM (N) OF HARPER SPRINGS.",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN001299,,,9.4,0,,"Unknown",,"Current",-22.022797,134.014704,53,398309,7564322,"GPS",
"RN002444","Gorey's Bore Opposite Ti Tree Farms",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN002444,2.5,1940-01-01 00:00:00.0,70.1,0,0,"Production",,"Current",-22.243891,133.426968,53,337895,7539335,"Estimated",
"RN001298","Kooldunda Well Cased Mount Skinner Station",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN001298,,,7.9,0,,"Production",,"Current",-22.265665,134.112568,53,408567,7537499,"GPS",
"RN012398","Napperby - Pine Hill Station",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN012398,12.6,1979-07-23 00:00:00.0,55,55,0,"Monitoring","Constructed&Capped","Current",-22.289059,133.450602,53,340382,7534359,"GPS",
"RN012155","Old Monitoring Bore Pine Hill Station",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN012155,0.2,1980-03-17 00:00:00.0,210.2,0,0,"Investigation",,"Current",-22.366326,133.485901,53,344105,7525841,"Surveyed",
"RN012154","Pine Hill Station",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN012154,3.5,1980-03-11 00:00:00.0,98.8,0,0,"Monitoring","Constructed&Capped","Current",-22.366488,133.485763,53,344091,7525823,"GPS",https://ntg.aquaticinformatics.net/AQWebportal/Data/Location/Summary/Location/RN012154/Interval/Latest
"RN018185","Alcoota Station",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN018185,0.6,2005-08-19 00:00:00.0,102,0,,"Production","Constructed&Capped","Current",-22.684238,134.159983,53,413713,7491190,"GPS",
"RN018186","Alcoota Station",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN018186,1.3,2005-08-20 00:00:00.0,36.5,36.5,13.6,"Production","Constructed&Capped","Current",-22.634984,134.230864,53,420966,7496682,"GPS",
"RN016972","Production Bore Lot 3706 Ti Tree Farm",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN016972,5.5,1999-05-15 00:00:00.0,85,82.6,23,"Production","Constructed&Capped","Current",-22.239241,133.408705,53,336007,7539830,"On Block",
"RN002454","Ti Tree Area - 8 Mile Well",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN002454,1,1955-01-01 00:00:00.0,7.3,0,0,"Monitoring","Well","Current",-22.132544,133.950962,53,391814,7552129,"GPS",
"RN017931","Monitoring Bore Ti Tree Area",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN017931,12.5,2003-05-22 00:00:00.0,56.7,56.7,,"Monitoring","Constructed&Capped","Current",-22.190917,133.461913,53,341437,7545237,"GPS",
"RN017932","Investigation Test Production Bore Ti Tree Area",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN017932,8,2003-05-22 00:00:00.0,56.5,56.3,12.07,"Investigation","Constructed&Capped","Current",-22.190895,133.462427,53,341490,7545240,"GPS",
"RN016682","Ti Tree Area",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN016682,5,1995-08-15 00:00:00.0,59.5,53.9,36.39,"Monitoring","Constructed&Capped","Current",-22.282051,133.319076,53,326821,7534990,"GPS",https://ntg.aquaticinformatics.net/AQWebportal/Data/Location/Summary/Location/RN016682/Interval/Latest
"RN018825","Monitoring Bore Stirling Swamp Stirling Station",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN018825,,2012-05-22 00:00:00.0,3,0,,"Investigation","Backfilled","Historical",-21.778283,133.726839,53,368372,7591171,"GPS",
"RN016681","Ti Tree Area",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN016681,5,1995-08-14 00:00:00.0,65.5,52.6,22.03,"Monitoring","Constructed&Capped","Current",-22.281922,133.488684,53,344298,7535189,"GPS",https://ntg.aquaticinformatics.net/AQWebportal/Data/Location/Summary/Location/RN016681/Interval/Latest
"RN018826","Monitoring Bore Stirling Swamp Stirling Station",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN018826,,2012-05-22 00:00:00.0,3,0,,"Investigation","Backfilled","Historical",-21.762614,133.717916,53,367435,7592898,"GPS",
"RN015528","RN15528 20KM (N) OF HOMESTEAD",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN015528,0.8,1989-07-25 00:00:00.0,18,0,0,"Production",,"Current",-22.04313,134.115716,53,408748,7562135,"Estimated",
"RN016680","Ti Tree Area",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN016680,10,1995-08-10 00:00:00.0,77.5,77.5,,"Monitoring","Constructed&Capped","Current",-22.282082,133.557899,53,351430,7535241,"GPS",https://ntg.aquaticinformatics.net/AQWebportal/Data/Location/Summary/Location/RN016680/Interval/Latest
"RN018827","Monitoring Bore Stirling Swamp Stirling Station",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN018827,3,2012-05-24 00:00:00.0,11.4,10.1,1.19,"Investigation","Constructed&Capped","Current",-21.762686,133.717877,53,367431,7592890,"GPS",
"RN005033","102. 5/95  #34 TI TREE GRID",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN005033,9,1966-07-22 00:00:00.0,147.6,0,0,"Investigation",,"Current",-22.146501,133.33255,53,328044,7550014,"Surveyed",
"RN016679","Monitoring Bore Ti Tree Station",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN016679,0.5,1995-08-09 00:00:00.0,18.2,15.5,6.73,"Monitoring","Constructed&Capped","Current",-22.282254,133.626804,53,358530,7535288,"GPS",
"RN018828","Monitoring Bore Stirling Swamp Stirling Station",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN018828,0,2012-05-31 00:00:00.0,3,2.9,1.39,"Investigation","Constructed&Capped","Current",-21.762677,133.717867,53,367430,7592891,"GPS",
"RN016686","Pine Hill Station",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN016686,5,1995-08-23 00:00:00.0,65.6,64,28.65,"Monitoring","Constructed&Capped","Current",-22.405242,133.237129,53,318536,7521253,"GPS",https://ntg.aquaticinformatics.net/AQWebportal/Data/Location/Summary/Location/RN016686/Interval/Latest
"RN017934","Investigation Bore Ti Tree Area",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN017934,6.6,2003-05-28 00:00:00.0,50.6,50.6,11.12,"Investigation","Constructed&Capped","Current",-22.191339,133.472237,53,342502,7545201,"GPS",
"RN016685","Pine Hill Station",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN016685,0.4,1995-08-22 00:00:00.0,107.7,107.2,60.18,"Monitoring","Constructed&Capped","Current",-22.442128,133.354616,53,330677,7517306,"GPS",https://ntg.aquaticinformatics.net/AQWebportal/Data/Location/Summary/Location/RN016685/Interval/Latest
"RN016684","Ti Tree Area",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN016684,0.2,1995-08-18 00:00:00.0,106.6,106.2,0,"Monitoring","Constructed&Capped","Current",-22.282062,133.249187,53,319619,7534907,"GPS",https://ntg.aquaticinformatics.net/AQWebportal/Data/Location/Summary/Location/RN016684/Interval/Latest
"RN018823","Monitoring Bore Stirling Swamp Stirling Station",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN018823,10,2012-05-19 00:00:00.0,13,11.2,0.95,"Investigation","Constructed&Capped","Current",-21.778319,133.726838,53,368372,7591167,"GPS",
"RN016683","Ti Tree Area",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN016683,10,1995-08-17 00:00:00.0,71.5,66.9,26.12,"Monitoring","Constructed&Capped","Current",-22.266826,133.382369,53,333325,7536747,"GPS",https://ntg.aquaticinformatics.net/AQWebportal/Data/Location/Summary/Location/RN016683/Interval/Latest
"RN018824","Monitoring Bore Stirling Swamp Stirling Station",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN018824,5,2012-05-21 00:00:00.0,7,7,1.02,"Investigation","Constructed&Capped","Current",-21.778301,133.726838,53,368372,7591169,"GPS",
"RN017933","Monitoring Bore Ti Tree Area",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN017933,8,2003-05-27 00:00:00.0,54.6,46.6,10.66,"Monitoring","Constructed&Capped","Current",-22.176614,133.449927,53,340185,7546808,"GPS",
"RN018829","Monitoring Bore Stirling Swamp Stirling Station",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN018829,0.5,2012-05-25 00:00:00.0,12.2,11.5,2.26,"Investigation","Constructed&Capped","Current",-21.753502,133.704295,53,366018,7593895,"GPS",
"RN018830","Monitoring Bore Stirling Swamp Stirling Station",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN018830,,2012-05-29 00:00:00.0,5,5,,"Investigation","Constructed&Capped","Current",-21.753493,133.704266,53,366015,7593896,"GPS",
"RN018163","Stock Bore Dry Pine Hill Station",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN018163,,2009-01-10 00:00:00.0,84,0,,"Production","Constructed&Capped","Current",-22.502939,133.330623,53,328282,7510545,"GPS",
"RN018164","McMahons Dam Bore #3 Dud Pine Hill Station",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN018164,,2009-01-12 00:00:00.0,43,0,,"Production","Backfilled","Historical",-22.548714,133.3077,53,325981,7505450,"GPS",
"RN018165","Sandy Creek Bore Pine Hill Station",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN018165,1,2009-01-13 00:00:00.0,27,27,13,"Production","Constructed&Capped","Current",-22.398378,133.139148,53,308438,7521891,"GPS",
"RN018166","Tims Hole Bore Pine Hill Station",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN018166,0.6,2009-01-14 00:00:00.0,22,22,13,"Production","Constructed&Capped","Current",-22.186702,132.972557,53,290969,7545111,"GPS",
"RN018161","Hawks Nest #3 Pine Hill Station",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN018161,0.5,2008-08-10 00:00:00.0,71,71,32,"Production","Constructed&Capped","Current",-22.291261,133.156242,53,310053,7533774,"GPS",
"RN018162","White Hill Bore Pine Hill Station",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN018162,1,2009-01-09 00:00:00.0,28,28,15.5,"Production","Constructed&Capped","Current",-22.443475,133.1865,53,313374,7516957,"GPS",
"RN016949","Production Bore Lot 3285 Ti Tree Farm",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN016949,9,1999-07-10 00:00:00.0,85,85,22.3,"Production","Equipped-Electrical","Current",-22.24094,133.405164,53,335644,7539638,"GPS",
"RN017916","Investigation Bore Dud Stirling Station",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN017916,,2005-03-26 00:00:00.0,7,0,,"Investigation","Backfilled","Historical",-21.905778,133.853611,53,381585,7577160,"GPS",
"RN043487","26 Spencer Road, Ti Tree, Parcel 535 Town of Ti Tree",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN043487,,2023-03-29 00:00:00.0,30,0,,,"Backfilled","Historical",-22.128874,133.412652,53,336286,7552054,"GPS",
"RN016968","Dloog Farm Lot 3705 Production Bore Ti Tree Farms",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN016968,9,1999-07-12 00:00:00.0,84,84,30.9,"Production","Constructed&Capped","Current",-22.251071,133.417799,53,336958,7538530,"On Block",
"RN017913","Investigation Bore Dud Ahakeye Aboriginal Land Trust",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN017913,,2005-03-24 00:00:00.0,8.5,0,,"Investigation","Backfilled","Historical",-22.282335,133.641768,53,360072,7535293,"GPS",
"RN017914","Investigation Bore Dud Ahakeye Aboriginal Land Trust",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN017914,,2005-03-24 00:00:00.0,13,0,,"Investigation","Backfilled","Historical",-22.282356,133.586041,53,354330,7535238,"GPS",
"RN017915","Investigation Bore Dud Ahakeye Aboriginal Land Trust",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN017915,,2005-03-25 00:00:00.0,23,0,,"Investigation","Backfilled","Historical",-22.283685,133.517354,53,347254,7535023,"GPS",
"RN001106","BIRTHDAY BORE(MILL TOWER)ONLY 4.5K S/W.RABBIT MILL RN 1",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN001106,,,54,0,,"Unknown",,"Current",-22.72421,133.264822,53,321798,7485967,"GPS",
"RN001103","FREELING 42M SEEPAGE DUD   N/T 7.5K WEST OF ABES MILL R",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN001103,,,41.8,0,,"Unknown",,"Current",-22.622806,133.135524,53,308375,7497035,"Estimated",
"RN003374","STN STOCK YARD BORE 1.5KM (N) OF HOMESTEAD.",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN003374,,,27.4,0,,"Unknown",,"Current",-22.375305,133.057209,53,299968,7524340,"Estimated",
"RN001118","NO3 26M DUD NO DATA        N/T APX 7K ENE OF PRIDMORE R",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN001118,,,26.2,0,,"Unknown",,"Current",-22.663464,133.18061,53,313065,7492590,"Estimated",
"RN001117","MT LONELY 41M DUD NO DATA  N/T ??7K ENE OF PRIDMORE RN",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN001117,,,41.2,0,,"Unknown",,"Current",-22.663464,133.18061,53,313065,7492590,"Estimated",
"RN001116","NO2 30M DUD AILERON      N/T APX 6K ENE OF PRIDMORE R",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN001116,,,32.3,0,,"Unknown",,"Current",-22.663464,133.18061,53,313065,7492590,"Estimated",
"RN001115","FREELING NO1 82M DRY DUD   N/T 7.5K(W)OF ALBIES MILL RN",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN001115,,,81.7,0,,"Unknown",,"Current",-22.631052,133.135646,53,308399,7496122,"Estimated",
"RN001114","KERRIN'S 21M DRY DUD       N/T 35K S/W OF ALBIES RN 136",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN001114,,,31.3,0,,"Unknown",,"Current",-22.663464,133.18061,53,313065,7492590,"Estimated",
"RN003392","OLD STORE WELL. TI TREE",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN003392,,,0,0,,"Unknown",,"Current",-22.130768,133.413349,53,336360,7551845,"Estimated",
"RN001113","CLAXTON 24M DRY DUD        N/T 2K SSW OF ALBIES MILL RN",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN001113,,,24.4,0,,"Unknown",,"Current",-22.655093,133.18937,53,313954,7493528,"Estimated",
"RN001112","DUD BORE NO1 38M DRY DUD N/T 3.5K S/W.ALBIES MILL RN",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN001112,,,38.1,0,,"Unknown",,"Current",-22.663464,133.18061,53,313065,7492590,"Estimated",
"RN011767","Fig Bore Lot 3706 Old Production Bore Ti Tree Farm",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN011767,6.8,1978-02-01 00:00:00.0,61.3,0,0,"Production",,"Current",-22.242921,133.41658,53,336823,7539431,"GPS",
"RN015071","NEW HOUSE BORE. 5.5KM (NNW) OF HOMESTEAD.",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN015071,1.2,1987-07-20 00:00:00.0,110,0,0,"Production",,"Current",-22.335295,133.03437,53,297558,7528740,"GPS",
"RN003391","STONE WELL. TI TREE",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN003391,0,1957-01-01 00:00:00.0,8.5,0,0,"Production",,"Current",-22.130763,133.41742,53,336780,7551850,"Estimated",
"RN003390","DRY BORE. TI TREE",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN003390,0.1,1958-01-01 00:00:00.0,44.2,0,0,"Production",,"Current",-22.141006,133.643998,53,360162,7550942,"Estimated",
"RN001111","RABBIT FLAT WELL(FAIR) ABD 400M NTH OF MILL RN 11771",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN001111,,,29.3,0,,"Unknown",,"Current",-22.699189,133.302212,53,325607,7488782,"GPS",
"RN003389","HAINES BLOCK WELL 536. TI TREE",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN003389,,,0,0,,"Production",,"Current",-22.128716,133.411287,53,336145,7552070,"Estimated",
"RN000651","D\R NO 1 THIS IS LILLY FLAT RN785.",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN000651,3.8,1955-09-20 00:00:00.0,0,0,0,"Production",,"Current",-22.393657,134.021379,53,399264,7523272,"Estimated",
"RN001110","WATSON 27M 5"CAS NO DATA   N/T 3K? SSW OF ALBIES MILL R",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN001110,,,27.4,0,,"Unknown",,"Current",-22.663339,133.189506,53,313979,7492615,"Estimated",
"RN003388","HEFFERMANS BLOCK WELL. TI TREE.",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN003388,,,0,0,,"Unknown",,"Current",-22.129857,133.412535,53,336275,7551945,"Estimated",
"RN000652","N02 ALBREEDA (D/R ABD) APX 8KM (NE) OF HOMESTEAD.",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN000652,1.1,1955-10-01 00:00:00.0,39.3,0,0,"Production",,"Current",-22.35335,134.265533,53,424375,7527877,"Estimated",
"RN001109","GHOST GUM 6"CAS NOT USED   N/S 14K NNE OF CONNER WELL R",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN001109,,,45.7,0,,"Unknown",,"Current",-22.833536,133.596632,53,355995,7474223,"Estimated",
"RN003387","LITTLE WELL. TI TREE.",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN003387,,,12.2,0,,"Unknown",,"Current",-22.125034,133.418163,53,336850,7552485,"Estimated",
"RN012004","A 63/11. CASING REMOVED 7.2km (E) OF ARDEN SOAK BORE.",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN012004,0.5,1978-09-16 00:00:00.0,100,0,0,"Production",,"Current",-22.362325,133.379353,53,333128,7526170,"Estimated",
"RN012005","A 63/11 2nd ATT. 8KM (NNE) OF NO1 ATT.",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN012005,7.5,1978-10-03 00:00:00.0,58.5,0,0,"Production",,"Current",-22.299399,133.409197,53,336128,7533170,"Estimated",
"RN011764","MAJORCA CASING PULLED ABD U/S 9.5K EAST OF MT LUCY RN 1",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN011764,,,53.3,0,,"Unknown",,"Current",-22.629591,133.760204,53,372593,7496953,"Estimated",
"RN011765","24M DRY DUD AILERON  N/S 8K EAST OF HOMESTEAD",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN011765,0,1977-07-01 00:00:00.0,24.1,0,0,"Production",,"Current",-22.65178,133.424627,53,338128,7494170,"Estimated",
"RN019848","Stock Bore Aileron Station",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN019848,5,2019-04-27 00:00:00.0,80,80,40.7,"Production","Constructed&Capped","Current",-22.631326,133.713225,53,367766,7496720,"GPS",
"RN011769","NOLAN           P/JACK & MILL 16K NORTH WEST OF HOMESTE",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN011769,0.5,1978-02-01 00:00:00.0,51.9,0,0,"Production",,"Current",-22.57919,133.238044,53,318857,7501993,"GPS",
"RN004835","A87/1 3ATT 6"CAS ONLY      N/S 2K WEST OF HOMESTEAD.",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN004835,0.1,1966-04-04 00:00:00.0,78.3,0,0,"Production",,"Current",-22.652954,133.340486,53,329482,7493946,"Estimated",
"RN015321","EXCISION 32M 0.6LPS DUD 1K SOUTH OF LAUGHTON LAGOON.",http://www.ntlis.nt.gov.au/hpa-services/borereport?bore=RN015321,0.6,1989-01-19 00:00:00.0,32,0,0,"Production",,"Current",-22.678472,133.374446,53,333003,7491159,"GPS",
